# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,14.488308993560873,0.0,-3.362645091386585,-0.29738493739987604,0.0,0.0
 0.05621238330105161,0.006319664072768691,0.11242476660210321,1.9999999999999998,14.488308993560873,0.0,-3.362645091386585,-0.29738493739987604,0.0,0.0
 0.07897916053718967,0.012475415598318355,0.2703830876764825,6.938106322033563,13.286496658383394,0.0,-3.6016123138916702,-0.27765342653425806,-52.78798675421761,-2318.6411588560904
 0.09610127524670418,0.01847091020808559,0.35016087156778747,4.659341748655241,12.032723156930317,0.0,-3.858634143747524,-0.2591590606278094,-73.22538849458665,-1193.6260261714208
 0.11024958888566326,0.024309943698915523,0.412701728264735,4.420375338919106,10.72448556612799,0.0,-4.134689974269418,-0.24185610196244417,-92.46597327330508,-1359.9207135002416
 0.12246726375965625,0.02999646138555442,0.46543370529063904,4.316040291606659,9.359250072029452,0.0,-4.43067395183416,-0.2256992978655158,-111.74266038169267,-1577.770509298844
 0.1332939753478291,0.03553456772805534,0.5115224782149705,4.2569502797764605,7.9344778888600835,0.0,-4.747347439068881,-0.21064394650586907,-131.59786991331643,-1833.9095273687396
 0.14305337488385522,0.04092853613132163,0.5526947004633681,4.218724942698913,6.447657738644822,0.0,-5.085280942580101,-0.19664596927709435,-152.34750301253402,-2126.1178029059906
 0.15195857787590014,0.04618281878013201,0.5900239055195111,4.191842127516852,4.896345773508508,0.0,-5.444784729529406,-0.18366199026686408,-174.20287516434067,-2454.225038028914
 0.16015938363619472,0.051302056333451584,0.6242359230241892,4.171787322450754,3.2782137682675963,0.0,-5.8258279089516645,-0.1716494231598314,-197.3137826377181,-2818.126431584604
 0.16776633639750047,0.05629108725647856,0.6558514400673892,4.156134267589844,1.5911062750441398,0.0,-6.227946613168614,-0.16056656585423532,-221.7849309917185,-3216.944960993804
 0.1748641708852981,0.06115495651880545,0.6852610145655978,4.143457352910762,-0.16689281241785067,0.0,-6.650143149186866,-0.1503727028977223,-247.68104842178067,-3648.4532676243625
 0.18151986576302953,0.06589892333325649,0.7127680732966531,4.132860540690977,-1.9973842176628267,0.0,-7.090779629539411,-0.1410282158303312,-275.0263404305715,-4108.555531937392
 0.1878875446978689,0.07052846755480145,0.7270379472519296,2.240985153507343,-3.901568237598786,0.0,-7.54747165028454,-0.1324947010516164,-299.03894957982783,-3771.0144300581205
 0.19419118824580925,0.0750492943058074,0.7171767750863818,-1.5643606892667417,-5.880151893557146,0.0,-8.016989939100894,-0.12473509479196752,-313.87936848123957,-2354.260482615747
 0.20053646080218712,0.07946733634758955,0.6962730131019221,-3.2943836216221296,-7.9332503792572195,0.0,-8.495180381749687,-0.11771380418811514,-323.56348249161124,-1526.1935439854012
 0.20692100438959732,0.08378875368439051,0.6768561100158266,-3.041235887931617,-10.060285975910679,0.0,-8.976915065835524,-0.11139684319904226,-333.1539001233857,-1502.1304969529897
 0.21334202515985917,0.08801992987206256,0.6589569383217394,-2.787589751614715,-12.259888775310142,0.0,-9.456088488365,-0.10575197146583645,-342.56279150920136,-1465.326421211985
 0.21979627872673277,0.09216746451727661,0.6426048500017484,-2.5335367057653233,-14.529804729734254,0.0,-9.925673201310955,-0.10074883382901653,-351.6930239732813,-1414.607029221901
 0.22628006451407418,0.09623816150192106,0.6278271858690732,-2.2791721715307656,-16.866817581129556,0.0,-10.37784730058858,-0.0963590975118014,-360.4395530706706,-1348.98489621073
 0.23278923098734033,0.10023901255787357,0.6146487530138349,-2.0245960691531644,-19.266691929344077,0.0,-10.804201727166197,-0.09255658356374351,-368.69149960614146,-1267.742432055239
 0.23931919336493993,0.10417717595304271,0.6030912840598643,-1.7699135593211643,-21.724144865175372,0.0,-11.196028178415174,-0.08931738863679356,-376.3349302380903,-1170.5167947320647
 0.24586496493697332,0.10805995023041426,0.5931728956079949,-1.5152359569413376,-24.2328530234484,0.0,-11.544678857889444,-0.08661999283909196,-383.2562946423925,-1057.379459111203
 0.25242120245451133,0.11189474316133895,0.5849075663696711,-1.2606817883296555,-26.785500462471663,0.0,-11.841978378772104,-0.084445349249463,-389.3463945128442,-928.9016534499654
 0.2589822652243468,0.11568903632038036,0.5783046576670006,-1.0063779199046012,-29.373870417919026,0.0,-12.080657595257602,-0.08277695085013925,-394.50467801457467,-786.196334753211
 0.2655422866198853,0.11945034594337882,0.5733684993095505,-0.7524607100835347,-31.988980829005097,0.0,-12.254771181232615,-0.08160087081278473,-398.6435795567093,-630.9280553489554
 0.2720952557866338,0.12318618096989328,0.5700980626417561,-0.49907707248027966,-34.62125989069637,0.0,-12.360057421558682,-0.08090577299873851,-401.6925754890122,-465.28464497808505
 0.2786351064908343,0.1269039993715008,0.5684867391880347,-0.24638535749546278,-37.26075417181062,0.0,-12.394201519530622,-0.08068289017442656,-403.6016111834044,-291.9081460324524
 0.28515580943902286,0.1306111640054388,0.5685222380767759,0.005444027894427531,-39.897358592095266,0.0,-12.356972854684294,-0.08092596882422697,-404.3435870694106,-113.78771459177148
 0.29165146406921383,0.1343148992919068,0.5701866089452345,0.2562283500607969,-42.52105525879494,0.0,-12.250220975135685,-0.08163118053378003,-403.9156660985439,65.8780361994199
 0.2981163858311797,0.1380222499843167,0.5734563895607845,0.505772650612194,-45.12214721426253,0.0,-12.07773209274982,-0.08279700131784619,-402.33927822146313,243.83711591916256
